"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","MEASYEAR","FORFLTHK","LTRLRTHK","FORFLTHKN","LTRLRTHKN","FORFLTHKS","LTRLRTHKS","FORFLTHKE","LTRLRTHKE","FORFLTHKW","LTRLRTHKW","CONDID","VSTNBR","TXTRLYR1","TXTRLYR2","DPTHSBSL","SOILS_STATCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"76470605010538","59789167010538",2001,39,67,363,3,2001,0.9,0.9,1.2,1.2,0.8,0.8,1.2,1.2,0.4,0.4,1,1,,,99.9,1,"",2007-11-29,"10661","",2009-03-18,"10661"
"76470606010538","59789167010538",2001,39,67,363,4,2001,1.7,1.1,1.6,1.2,1.2,0.8,1.6,1.2,2.4,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470610010538","59790455010538",2001,39,73,197,2,2001,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,3,20,1,"",2007-11-29,"10661","",,""
"76470611010538","59790455010538",2001,39,73,197,3,2001,1.6,1.1,2,1.2,1.6,0.8,1.6,1.2,1.2,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470612010538","59790455010538",2001,39,73,197,4,2001,1.2,0.9,0.8,0.8,0.8,0.8,0.8,0.8,2.4,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470619010538","59792161010538",2001,39,83,604,2,2001,1.6,1.5,2,2,1.2,1.2,1.6,1.6,1.6,1.2,1,1,3,3,99.9,1,"",2007-11-29,"10661","",2009-03-18,"10661"
"76470620010538","59792161010538",2001,39,83,604,3,2001,1.1,1,0.8,0.8,1.6,1.2,1.2,1.2,0.8,0.8,1,1,,,99.9,1,"",2007-11-29,"10661","",2009-03-18,"10661"
"76470621010538","59792161010538",2001,39,83,604,4,2001,1.3,1,1.2,0.8,2,1.6,1.2,0.8,0.8,0.8,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470622010538","59792877010538",2001,39,87,319,2,2001,0.6,0.6,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,1,1,2,2,12.2,1,"",2007-11-29,"10661","",,""
"76470623010538","59792877010538",2001,39,87,319,3,2001,1,0.6,1.2,0.8,0.8,0.4,0.8,0.4,1.2,0.8,1,1,,,13.4,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470624010538","59792877010538",2001,39,87,319,4,2001,1.2,0.7,1.6,0.8,0.8,0.4,1.2,0.8,1.2,0.8,1,1,,,8.3,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470634010538","59796133010538",2001,39,111,537,2,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",,""
"76470635010538","59796133010538",2001,39,111,537,3,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470636010538","59796133010538",2001,39,111,537,4,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470646010538","59799485010538",2001,39,133,64,2,2001,2.65,1.9,3.1,2,2,1.6,3.1,2,2.4,2,1,1,1,1,20,1,"",2007-11-29,"10661","",,""
"76470647010538","59799485010538",2001,39,133,64,3,2001,1.8,1.5,1.2,1.2,2.4,2,2.4,1.6,1.2,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470648010538","59799485010538",2001,39,133,64,4,2001,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,1.2,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470655010538","59801189010538",2001,39,145,33,2,2001,1.5,0.8,1.2,0.8,1.6,0.8,1.2,0.8,2,0.8,1,1,1,3,20,1,"",2007-11-29,"10661","",,""
"76470656010538","59801189010538",2001,39,145,33,3,2001,2.1,0.9,2,0.8,2.8,1.2,1.6,0.4,2,1.2,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470657010538","59801189010538",2001,39,145,33,4,2001,2,0.7,2.4,0.8,2,0.8,2.4,0.8,1.2,0.4,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470664010538","59803170010538",2001,39,157,295,2,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",,""
"76470665010538","59803170010538",2001,39,157,295,3,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470666010538","59803170010538",2001,39,157,295,4,2001,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470667010538","59804300010538",2001,39,167,404,2,2001,1.7,1.5,1.2,1.2,1.6,1.2,2,2,2,1.6,1,1,2,2,20,1,"",2007-11-29,"10661","",,""
"76470668010538","59804300010538",2001,39,167,404,3,2001,0.9,0.9,0.8,0.8,1.2,1.2,1.2,1.2,0.4,0.4,1,1,,,7.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470669010538","59804300010538",2001,39,167,404,4,2001,1.2,1.2,0.8,0.8,0.8,0.8,1.2,1.2,2,2,1,1,,,9.8,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470556010538","59827371010538",2002,39,1,5656,2,2002,2,1.6,2,1.6,2,1.6,2.4,2,1.6,1.2,1,1,2,2,13.8,1,"",2007-11-29,"10661","",,""
"76470557010538","59827371010538",2002,39,1,5656,3,2002,1.7,1.3,1.6,1.2,1.6,1.2,2,1.6,1.6,1.2,1,1,,,11.8,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470558010538","59827371010538",2002,39,1,5656,4,2002,1.4,1.1,2,1.6,1.6,1.2,1.2,0.8,0.8,0.8,1,1,,,11.8,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470565010538","59828166010538",2002,39,7,5352,2,2002,3.9,1.8,3.9,2.4,4.7,1.6,3.9,0.8,3.1,2.4,1,1,1,1,11.8,1,"",2007-11-29,"10661","",,""
"76470566010538","59828166010538",2002,39,7,5352,3,2002,1.1,1,0.8,0.8,1.6,1.2,0.8,0.8,1.2,1.2,1,1,,,5.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470567010538","59828166010538",2002,39,7,5352,4,2002,4.4,1.1,3.9,1.2,3.9,1.2,5.1,0.8,4.7,1.2,1,1,,,15.4,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470571010538","59829816010538",2002,39,13,2644,2,2002,1,0.8,1.6,1.6,1.2,0.8,0.8,0.4,0.4,0.4,1,1,2,2,3.5,1,"",2007-11-29,"10661","",,""
"76470572010538","59829816010538",2002,39,13,2644,3,2002,2,1.5,2.4,2,1.6,0.8,2.4,2,1.6,1.2,1,1,,,5.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470573010538","59829816010538",2002,39,13,2644,4,2002,0.3,0.2,0.4,0.4,0,0,0,0,0.8,0.4,1,1,,,3.5,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470574010538","59830348010538",2002,39,15,2715,2,2002,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",,""
"76470575010538","59830348010538",2002,39,15,2715,3,2002,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470576010538","59830348010538",2002,39,15,2715,4,2002,0.7,0.6,0.8,0.4,0.8,0.8,0.4,0.4,0.8,0.8,2,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470583010538","59832243010538",2002,39,31,4927,2,2002,0.6,0.6,0.8,0.8,1.6,1.6,0,0,0,0,1,1,2,2,7.1,1,"",2007-11-29,"10661","",,""
"76470584010538","59832243010538",2002,39,31,4927,3,2002,7.4,7.4,7.1,7.1,8.7,8.7,7.9,7.9,5.9,5.9,1,1,,,5.1,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470585010538","59832243010538",2002,39,31,4927,4,2002,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,,,5.5,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470589010538","59832674010538",2002,39,35,5793,2,2002,1.1,1.1,1.2,1.2,1.6,1.6,0.8,0.8,0.8,0.8,1,1,1,2,3.9,1,"",2007-11-29,"10661","",,""
"76470590010538","59832674010538",2002,39,35,5793,3,2002,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470591010538","59832674010538",2002,39,35,5793,4,2002,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470598010538","59819472010538",2002,39,59,1944,2,2002,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,2,2,5.5,1,"",2007-11-29,"10661","",,""
"76470599010538","59819472010538",2002,39,59,1944,3,2002,0.5,0.5,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470600010538","59819472010538",2002,39,59,1944,4,2002,,,,,,,,,,,,1,,,,7,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470607010538","59821617010538",2002,39,73,4384,2,2002,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,1.2,1.2,1,1,2,2,20,1,"",2007-11-29,"10661","",,""
"76470608010538","59821617010538",2002,39,73,4384,3,2002,1.1,1,1.2,1.2,1.2,1.2,0.8,0.8,1.2,0.8,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470609010538","59821617010538",2002,39,73,4384,4,2002,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470613010538","59822682010538",2002,39,79,2106,2,2002,2.2,2.2,2,2,1.6,1.6,2.8,2.8,2.4,2.4,1,1,2,2,11,1,"",2007-11-29,"10661","",,""
"76470614010538","59822682010538",2002,39,79,2106,3,2002,2,2,2,2,2,2,2,2,2,2,1,1,,,7.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470615010538","59822682010538",2002,39,79,2106,4,2002,1.8,1.8,1.6,1.6,1.6,1.6,2,2,2,2,1,1,,,6.7,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470616010538","59823251010538",2002,39,81,2843,2,2002,0.7,0.7,0.8,0.8,0.8,0.8,0.4,0.4,0.8,0.8,1,1,9,9,0.8,1,"",2007-11-29,"10661","",,""
"76470617010538","59823251010538",2002,39,81,2843,3,2002,1.8,1.8,1.6,1.6,2.4,2.4,2.4,2.4,0.8,0.8,1,1,,,2.4,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470618010538","59823251010538",2002,39,81,2843,4,2002,1.5,1.5,1.6,1.6,1.6,1.6,1.2,1.2,1.6,1.6,1,1,,,1.6,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470625010538","59825609010538",2002,39,99,5047,2,2002,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",,""
"76470626010538","59825609010538",2002,39,99,5047,3,2002,,,,,,,,,,,,1,,,,2,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470627010538","59825609010538",2002,39,99,5047,4,2002,1.2,1,1.2,1.2,0.8,0.8,1.2,0.8,1.6,1.2,3,1,,,3.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470628010538","59826469010538",2002,39,105,2981,2,2002,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,1,1,9,9,99.9,1,"",2007-11-29,"10661","",2009-03-18,"10661"
"76470629010538","59826469010538",2002,39,105,2981,3,2002,0.7,0.5,1.2,0.4,0.4,0.4,0.8,0.8,0.4,0.4,1,1,,,2,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470630010538","59826469010538",2002,39,105,2981,4,2002,1.8,1.2,2,1.6,1.6,0.8,2,1.2,1.6,1.2,1,1,,,9.4,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470631010538","59833508010538",2002,39,111,3407,2,2002,3.45,3.05,2.8,2.4,4.7,4.3,2.8,2.4,3.5,3.1,3,1,2,2,2,1,"",2007-11-29,"10661","",,""
"76470632010538","59833508010538",2002,39,111,3407,3,2002,1.3,0.7,2,0.8,0.8,0.4,1.6,1.2,0.8,0.4,1,1,,,3.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470633010538","59833508010538",2002,39,111,3407,4,2002,2.2,1.7,2.4,2,1.6,1.2,2.8,2,2,1.6,1,1,,,3.9,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470637010538","59806958010538",2002,39,115,3640,2,2002,1.7,1.7,1.6,1.6,2.4,2.4,1.2,1.2,1.6,1.6,2,1,2,2,4.7,1,"",2007-11-29,"10661","",,""
"76470638010538","59806958010538",2002,39,115,3640,3,2002,1.7,1.2,2,1.6,1.6,1.2,1.6,1.2,1.6,0.8,1,1,,,5.1,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470639010538","59806958010538",2002,39,115,3640,4,2002,1.7,1.2,0.8,0.8,2.4,1.6,1.2,0.4,2.4,2,1,1,,,4.7,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470640010538","59807612010538",2002,39,119,1949,2,2002,0.7,0.7,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.8,1,1,2,2,9.8,1,"",2007-11-29,"10661","",,""
"76470641010538","59807612010538",2002,39,119,1949,3,2002,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,,,7.1,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470642010538","59807612010538",2002,39,119,1949,4,2002,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1,,,4.7,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470643010538","59809293010538",2002,39,131,2188,2,2002,3.025,2.7,3.1,2.8,2.8,2.4,3.1,2.8,3.1,2.8,1,1,1,1,20,1,"",2007-11-29,"10661","",,""
"76470644010538","59809293010538",2002,39,131,2188,3,2002,1.3,0.4,1.2,0.4,1.2,0.4,1.2,0.4,1.6,0.4,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470645010538","59809293010538",2002,39,131,2188,4,2002,0.8,0.1,0.8,0,0.8,0.4,0.8,0,0.8,0,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
"76470649010538","59811100010538",2002,39,141,5316,2,2002,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,3,3,20,1,"",2007-11-29,"10661","",,""
"76470650010538","59811100010538",2002,39,141,5316,3,2002,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,,,20,1,"",2007-11-29,"10661","",2007-11-29,"10661"
