"CN","PLT_CN","INVYR","STATECD","COUNTYCD","PLOT","SMPLNNBR","VSTNBR","LAYER_TYPE","SAMPLER_TYPE","QASTATCD","SAMPLE_DATE","LAB_ID","SAMPLE_ID","FIELD_MOIST_SOIL_WT","AIR_DRY_SOIL_WT","OVEN_DRY_SOIL_WT","FIELD_MOIST_WATER_CONTENT_PCT","RESIDUAL_WATER_CONTENT_PCT","TOTAL_WATER_CONTENT_PCT","BULK_DENSITY","COARSE_FRACTION_PCT","C_ORG_PCT","C_INORG_PCT","C_TOTAL_PCT","N_TOTAL_PCT","PH_H2O","PH_CACL2","EXCHNG_NA","EXCHNG_K","EXCHNG_MG","EXCHNG_CA","EXCHNG_AL","ECEC","EXCHNG_MN","EXCHNG_FE","EXCHNG_NI","EXCHNG_CU","EXCHNG_ZN","EXCHNG_CD","EXCHNG_PB","EXCHNG_S","BRAY1_P","OLSEN_P","MEASYEAR","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE"
"63701143010538","59841598010538",2003,39,87,2049,2,1,"MIN_2","BD",1,2003-07-01,"GRFSL","2003-39-012",315.69,268.33,263.55,17.65,1.81,19.78,1.46,4.82,0.63,,0.63,0.11,4.51,3.92,2,45,11,9,226,2.77,6.5,3.3,0.2,0.1,1,0,1.1,19.5,4.5,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700633010538","59841598010538",2003,39,87,2049,4,1,"FF_TOTAL","SF",1,2003-07-01,"GRFSL","2003-39-013",93.2,53.46,50.79,74.34,5.25,83.48,0.18,,15,,15,0.571,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700679010538","59842149010538",2003,39,91,4513,2,1,"FF_TOTAL","SF",1,2003-08-13,"GRFSL","2003-39-085",33.94,16.89,15.99,100.95,5.65,112.29,0.094,,43.28,,43.28,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701005010538","59842149010538",2003,39,91,4513,2,1,"MIN_1","BD",1,2003-08-13,"GRFSL","2003-39-086",267.08,199.15,195.09,34.11,2.08,36.9,1.08,2.98,4.14,,4.14,0.313,7.35,7.04,5,234,805,2382,0,19.13,2.8,0,0,0,0,0.1,0,6.2,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701161010538","59842149010538",2003,39,91,4513,2,1,"MIN_2","BD",1,2003-08-13,"GRFSL","2003-39-087",340.4,278.91,273.58,22.05,1.95,24.43,1.52,12.99,1.12,,1.12,0.091,7.38,6.99,6,136,750,1974,0,16.39,1.4,0,0,0,0,0,0,2.2,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700680010538","59842149010538",2003,39,91,4513,4,1,"FF_TOTAL","SF",1,2003-08-13,"GRFSL","2003-39-088",12.78,9.54,9.18,33.96,3.97,39.28,0.108,,28.46,,28.46,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700687010538","59842363010538",2003,39,95,3536,2,1,"FF_TOTAL","SF",1,2003-08-20,"GRFSL","2003-39-089",1111.62,506.98,482.11,119.26,5.16,130.58,0.741,,33.87,,33.87,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701009010538","59842363010538",2003,39,95,3536,2,1,"MIN_1","BD",1,2003-08-20,"GRFSL","2003-39-090",251.7,216.52,213.29,16.25,1.52,18.01,1.18,0.38,3.28,,3.28,0.155,4.79,4.27,4,22,34,264,171,3.57,0.8,7,0.8,0,1.8,0,1.3,16.6,7.3,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701165010538","59842363010538",2003,39,95,3536,2,1,"MIN_2","BD",1,2003-08-20,"GRFSL","2003-39-091",273.4,243.23,240.8,12.4,1.01,13.54,1.34,0.42,1.35,,1.35,0.064,4.79,4.46,5,6,5,23,106,1.37,0,3.3,0.1,0,0.3,0,0,37.8,8,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700688010538","59842363010538",2003,39,95,3536,3,1,"FF_TOTAL","SF",1,2003-08-20,"GRFSL","2003-39-092",104.67,70.06,66.08,49.4,6.02,58.39,0.39,,38.58,,38.58,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700689010538","59842363010538",2003,39,95,3536,4,1,"FF_TOTAL","SF",1,2003-08-20,"GRFSL","2003-39-093",24.81,16.43,15.88,51,3.45,56.21,0.14,,15.98,,15.98,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700676010538","59852459010538",2003,39,117,3433,2,1,"FF_TOTAL","SF",1,2003-08-19,"GRFSL","2003-39-094",47.24,28.02,26.58,68.59,5.41,77.72,0.235,,35.62,,35.62,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701004010538","59852459010538",2003,39,117,3433,2,1,"MIN_1","BD",1,2003-08-19,"GRFSL","2003-39-095",227.12,165.42,160.74,37.3,2.91,41.3,0.89,2.6,6.65,,6.65,0.517,6.28,5.91,8,254,555,3350,0,21.97,4,0.3,0.1,0,0.7,0.1,0,10.4,6.8,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700678010538","59852459010538",2003,39,117,3433,4,1,"FF_TOTAL","SF",1,2003-08-19,"GRFSL","2003-39-098",28.25,21.39,20.29,32.07,5.43,39.24,0.144,,39.48,,39.48,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701160010538","59852459010538",2003,39,117,3433,2,1,"MIN_2","BD",1,2003-08-19,"GRFSL","2003-39-096",274.98,214.06,208.43,28.46,2.7,31.93,1.16,2.13,3.54,,3.54,0.292,6.09,5.61,9,195,507,2871,1,19.04,1.3,0.2,0.2,0,0.2,0.1,0,5.3,2.2,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700677010538","59852459010538",2003,39,117,3433,3,1,"FF_TOTAL","SF",1,2003-08-19,"GRFSL","2003-39-097",31.24,20.43,19.4,52.91,5.29,60.99,0.114,,32.93,,32.93,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700639010538","59853380010538",2003,39,121,2146,2,1,"FF_TOTAL","SF",1,2003-06-23,"GRFSL","2003-39-005",97.13,47.86,42.91,102.95,11.55,126.38,0.138,,46.23,,46.23,1.659,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700990010538","59853380010538",2003,39,121,2146,2,1,"MIN_1","BD",1,2003-06-23,"GRFSL","2003-39-006",285.85,226.25,223.19,26.34,1.37,28.07,1.24,13.83,2.21,,2.21,0.142,4.72,3.99,4,70,44,304,248,4.83,73.5,1.5,0.4,0.1,1.9,0.1,1.3,11.2,2.2,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701146010538","59853380010538",2003,39,121,2146,2,1,"MIN_2","BD",1,2003-06-23,"GRFSL","2003-39-007",335.52,284.03,277.87,18.13,2.22,20.75,1.54,27.8,0.95,,0.95,0.077,4.72,4.06,3,33,16,91,278,3.77,47.7,55.7,0.3,0.1,0.6,0,0.8,12.3,1.8,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700640010538","59853380010538",2003,39,121,2146,3,1,"FF_TOTAL","SF",1,2003-06-23,"GRFSL","2003-39-008",217.66,140.6,132.55,54.81,6.07,64.21,0.586,,20.33,,20.33,0.803,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700641010538","59853380010538",2003,39,121,2146,4,1,"FF_TOTAL","SF",1,2003-06-23,"GRFSL","2003-39-009",146.45,83.67,76.6,75.03,9.23,91.19,0.452,,33.81,,33.81,1.129,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700645010538","59854367010538",2003,39,127,3072,2,1,"FF_TOTAL","SF",1,2003-07-28,"GRFSL","2003-39-047",223.73,96.25,91.54,132.45,5.14,144.4,0.022,,33.68,,33.68,1.337,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700993010538","59854367010538",2003,39,127,3072,2,1,"MIN_1","BD",1,2003-07-28,"GRFSL","2003-39-048",264.55,227.14,225.69,16.47,0.64,17.22,1.25,23.46,2.13,,2.13,0.126,4.48,4.04,2,48,32,199,141,2.95,60.3,0.8,0.3,0,2,0,0.8,13.1,5.9,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701149010538","59854367010538",2003,39,127,3072,2,1,"MIN_2","BD",1,2003-07-28,"GRFSL","2003-39-049",255.9,224.57,223.27,13.95,0.58,14.62,1.24,4,0.87,,0.87,0.102,4.55,4.08,2,29,8,33,151,1.99,48.8,0.1,0.2,0,0.8,0,0.1,21.8,4.8,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700646010538","59854367010538",2003,39,127,3072,3,1,"FF_TOTAL","SF",1,2003-07-28,"GRFSL","2003-39-050",171.32,47.59,45.49,259.99,4.62,276.61,,,26.76,,26.76,0.995,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700647010538","59854367010538",2003,39,127,3072,4,1,"FF_TOTAL","SF",1,2003-07-28,"GRFSL","2003-39-051",261.71,105.65,100.16,147.71,5.49,161.3,0.031,,37.95,,37.95,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700659010538","59855376010538",2003,39,135,1422,2,1,"FF_TOTAL","SF",1,2003-08-07,"GRFSL","2003-39-099",347.38,180.4,171.45,92.56,5.22,102.61,0.551,,29.7,,29.7,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700998010538","59855376010538",2003,39,135,1422,2,1,"MIN_1","BD",1,2003-08-07,"GRFSL","2003-39-100",330.77,275.02,271.59,20.27,1.26,21.79,1.51,2.46,1.54,,1.54,0.129,4.83,4.48,4,149,188,815,67,6.75,41.6,0.5,0.3,0,1.4,0.1,0.8,9.9,4.4,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701154010538","59855376010538",2003,39,135,1422,2,1,"MIN_2","BD",1,2003-08-07,"GRFSL","2003-39-101",365.65,312.51,308.18,17,1.4,18.65,1.71,1.41,0.7,,0.7,0.079,4.97,4.34,5,78,178,719,116,6.57,29.4,0.4,0.2,0,0.6,0,1.2,10.6,1.7,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700660010538","59855376010538",2003,39,135,1422,3,1,"FF_TOTAL","SF",1,2003-08-07,"GRFSL","2003-39-102",163.22,71.6,68.22,127.96,4.96,139.26,0.268,,24.99,,24.99,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700661010538","59855376010538",2003,39,135,1422,4,1,"FF_TOTAL","SF",1,2003-08-07,"GRFSL","2003-39-103",36.21,19.69,18.75,83.9,5,93.1,0.166,,39.56,,39.56,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700644010538","59856286010538",2003,39,141,3077,3,1,"FF_TOTAL","SF",1,2003-07-03,"GRFSL","2003-39-001",202.63,151.09,140.34,34.11,7.66,44.38,0.382,,23.35,,23.35,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700634010538","59857241010538",2003,39,145,4951,2,1,"FF_TOTAL","SF",1,2003-07-22,"GRFSL","2003-39-052",265.24,126.48,120.49,109.71,4.97,120.14,0.061,,38.93,,38.93,1.079,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700988010538","59857241010538",2003,39,145,4951,2,1,"MIN_1","BD",1,2003-07-22,"GRFSL","2003-39-053",288.25,230.16,223.24,25.24,3.1,29.12,1.24,63.47,3.82,,3.82,0.227,4.94,4.56,5,107,141,786,42,5.84,69.3,0.5,0.6,0,3.1,0.1,0.6,9.7,4.8,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701144010538","59857241010538",2003,39,145,4951,2,1,"MIN_2","BD",1,2003-07-22,"GRFSL","2003-39-054",320.7,275.28,273.54,16.5,0.63,17.24,1.52,57.57,0.92,,0.92,0.081,5,4.44,4,78,93,350,67,3.46,19.3,0.3,0.4,0,1,0,0.7,5.9,2.2,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700635010538","59857241010538",2003,39,145,4951,3,1,"FF_TOTAL","SF",1,2003-07-22,"GRFSL","2003-39-055",174.9,100.2,95.62,74.55,4.79,82.92,0.042,,36.6,,36.6,1.427,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700636010538","59857241010538",2003,39,145,4951,4,1,"FF_TOTAL","SF",1,2003-07-22,"GRFSL","2003-39-056",188.71,98.97,92.82,90.67,6.63,103.31,0.051,,44.23,,44.23,1.61,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700671010538","59859396010538",2003,39,157,3047,2,1,"FF_TOTAL","SF",1,2003-07-09,"GRFSL","2003-39-019",176.59,60.25,52.62,193.1,14.5,235.58,0.465,,22.57,,22.57,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701002010538","59859396010538",2003,39,157,3047,2,1,"MIN_1","BD",1,2003-07-09,"GRFSL","2003-39-020",242.77,147.03,143,65.12,2.82,69.77,0.79,2.06,3.74,,3.74,0.209,5.19,4.71,4,91,191,1056,23,7.35,129.1,0.8,3.8,0,4.5,0.1,0.1,60.5,2.3,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701158010538","59859396010538",2003,39,157,3047,2,1,"MIN_2","BD",1,2003-07-09,"GRFSL","2003-39-021",288.25,195.36,191.45,47.55,2.04,50.56,1.06,3.08,4.7,,4.7,0.224,5.14,4.73,6,77,190,865,29,6.41,75.3,11.4,3.2,0,3.7,0.1,0.7,96,4.2,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700672010538","59859396010538",2003,39,157,3047,3,1,"FF_TOTAL","SF",1,2003-07-09,"GRFSL","2003-39-022",268.72,113.67,106.8,136.4,6.44,151.62,0.291,,20.24,,20.24,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700673010538","59859396010538",2003,39,157,3047,4,1,"FF_TOTAL","SF",1,2003-07-09,"GRFSL","2003-39-023",570.37,199.01,183.6,186.6,8.4,210.66,0.325,,33.2,,33.2,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700653010538","59860065010538",2003,39,165,2505,2,1,"FF_TOTAL","SF",1,2003-08-06,"GRFSL","2003-39-075",34.25,15.48,14.89,121.25,3.94,129.96,0.176,,23.22,,23.22,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700996010538","59860065010538",2003,39,165,2505,2,1,"MIN_1","BD",1,2003-08-06,"GRFSL","2003-39-076",221.42,154.81,151.95,43.03,1.88,45.72,0.84,0.95,5.07,,5.07,0.366,6.88,6.53,10,133,255,3183,0,18.36,9,0.1,0,0,0,0,0,10.4,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63701152010538","59860065010538",2003,39,165,2505,2,1,"MIN_2","BD",1,2003-08-06,"GRFSL","2003-39-077",291.52,222.17,217.65,31.21,2.08,33.94,1.21,3.47,2.47,,2.47,0.193,6.88,6.29,8,98,192,2191,0,12.8,13.1,0,0,0,0,0,0,5.5,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700654010538","59860065010538",2003,39,165,2505,3,1,"FF_TOTAL","SF",1,2003-08-06,"GRFSL","2003-39-078",19.22,12.64,12.06,52.06,4.81,59.38,0.142,,31.48,,31.48,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63700655010538","59860065010538",2003,39,165,2505,4,1,"FF_TOTAL","SF",1,2003-08-06,"GRFSL","2003-39-079",61.21,23.2,22.14,163.84,4.8,176.5,0.087,,36.34,,36.34,,,,,,,,,,,,,,,,,,,,2003,"",2018-02-23,"126144","",2006-11-01,"10538"
"63549313010538","59885224010538",2004,39,13,4479,2,1,"FF_TOTAL","SF",1,2004-07-21,"GRFSL","2004-39-032",11.7,11.7,11.7,,,,1.379,,,,,,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549316010538","59885224010538",2004,39,13,4479,2,1,"MIN_1","O",1,2004-07-21,"GRFSL","2004-39-035",238.37,151.53,148.87,57.31,1.79,60.12,,0.14,3.22,,3.22,0.28,5.7,5.35,18,80,227,2004,1,12.16,22.6,0,0,0,0.3,0.1,0.1,62.4,6.7,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549317010538","59885224010538",2004,39,13,4479,2,1,"MIN_2","O",1,2004-07-21,"GRFSL","2004-39-036",334.54,250.4,246.94,33.6,1.4,35.47,,0.03,1.17,,1.17,0.1,5.96,5.47,14,63,169,1416,2,8.7,16.5,0,0,0,0,0.1,0.1,32,6.4,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549314010538","59885224010538",2004,39,13,4479,3,1,"FF_TOTAL","SF",1,2004-07-21,"GRFSL","2004-39-033",97.62,62.09,59.4,57.22,4.53,64.34,2.101,,36.52,,36.52,1.38,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549307010538","59886638010538",2004,39,25,5374,2,1,"MIN_2","BD",1,2004-06-24,"GRFSL","2004-39-005",349.45,293.73,290,18.97,1.28,20.5,1.61,4.66,0.71,,0.71,0.07,5.59,5.12,5,86,226,1136,5,7.82,38.7,0,0,0,4.2,0.1,0.2,4.9,26.4,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549315010538","59885224010538",2004,39,13,4479,4,1,"FF_TOTAL","SF",1,2004-07-21,"GRFSL","2004-39-034",67.73,33.41,31.71,102.72,5.35,113.57,1.869,,34.1,,34.1,1.19,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549303010538","59886638010538",2004,39,25,5374,2,1,"FF_TOTAL","SF",1,2004-06-24,"GRFSL","2004-39-001",124.89,74.09,70.38,68.57,5.28,77.46,0.778,,25.78,,25.78,0.77,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549306010538","59886638010538",2004,39,25,5374,2,1,"MIN_1","BD",1,2004-06-24,"GRFSL","2004-39-004",309.2,235.71,232.2,31.18,1.51,33.16,1.29,7.91,2.55,,2.55,0.2,5.74,5.37,6,126,294,1705,1,11.28,60,0,0,0,2.8,0.1,0.1,7.8,35.1,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549304010538","59886638010538",2004,39,25,5374,3,1,"FF_TOTAL","SF",1,2004-06-24,"GRFSL","2004-39-002",1011.02,456.44,435.12,121.5,4.9,132.35,4.809,,20.39,,20.39,0.76,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549305010538","59886638010538",2004,39,25,5374,4,1,"FF_TOTAL","SF",1,2004-06-24,"GRFSL","2004-39-003",90.39,57.11,53.79,58.27,6.17,68.04,0.595,,29.49,,29.49,0.83,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549328010538","59886738010538",2004,39,27,3456,2,1,"FF_TOTAL","SF",1,2004-06-23,"GRFSL","2004-39-006",79.44,38.02,35.59,108.94,6.84,123.24,0.525,,40.82,,40.82,0.93,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549331010538","59886738010538",2004,39,27,3456,2,1,"MIN_1","BD",1,2004-06-23,"GRFSL","2004-39-009",264.4,192.05,187.59,37.67,2.38,40.95,1.04,2.61,3.28,,3.28,0.26,5.88,5.59,9,94,270,1481,1,9.9,66.9,0,0,0,0.3,0.1,0,8.4,7,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549332010538","59886738010538",2004,39,27,3456,2,1,"MIN_2","BD",1,2004-06-23,"GRFSL","2004-39-010",311.29,251.84,249.39,23.61,0.98,24.82,1.39,2.23,1.14,,1.14,0.11,4.92,4.43,6,44,108,417,77,3.96,44.9,0,0,0,0.4,0,0.5,8.3,4,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549329010538","59886738010538",2004,39,27,3456,3,1,"FF_TOTAL","SF",1,2004-06-23,"GRFSL","2004-39-007",30.73,23.29,21.51,31.95,8.25,42.84,0.272,,43.43,,43.43,1,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549330010538","59886738010538",2004,39,27,3456,4,1,"FF_TOTAL","SF",1,2004-06-23,"GRFSL","2004-39-008",94.64,65.67,61.06,44.11,7.56,55.01,0.675,,40.23,,40.23,0.81,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549348010538","59887136010538",2004,39,29,2347,2,1,"FF_TOTAL","SF",1,2004-08-02,"GRFSL","2004-39-037",58.83,27.77,26.3,111.85,5.61,123.73,0.465,,42.91,,42.91,0.91,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549351010538","59887136010538",2004,39,29,2347,2,1,"MIN_1","O",1,2004-08-02,"GRFSL","2004-39-040",572.94,497.92,492.68,15.07,1.06,16.29,,57.66,2.78,,2.78,0.17,5.56,5.12,10,155,274,1585,4,10.65,50.8,0,0,0,2.3,0.1,0.1,7.5,5.8,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549352010538","59887136010538",2004,39,29,2347,2,1,"MIN_2","O",1,2004-08-02,"GRFSL","2004-39-041",476.26,416.61,411.92,14.32,1.14,15.62,,47.16,1.61,,1.61,0.1,4.82,4.29,8,113,239,977,100,8.28,66.8,0,0.6,0,2,0.1,1.3,9.1,3.1,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549349010538","59887136010538",2004,39,29,2347,3,1,"FF_TOTAL","SF",1,2004-08-02,"GRFSL","2004-39-038",37.81,20.28,19.18,86.44,5.71,97.08,0.308,,40.23,,40.23,1.17,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549350010538","59887136010538",2004,39,29,2347,4,1,"FF_TOTAL","SF",1,2004-08-02,"GRFSL","2004-39-039",16.82,8.14,8.14,106.63,,106.63,0.411,,36.08,,36.08,0.78,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549362010538","59872676010538",2004,39,41,3878,3,1,"FF_TOTAL","SF",1,2004-06-30,"GRFSL","2004-39-011",125.94,61.64,57.11,104.32,7.94,120.53,1.262,,40.45,,40.45,0.98,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549298010538","59873691010538",2004,39,53,3579,2,1,"FF_TOTAL","SF",1,2004-07-08,"GRFSL","2004-39-042",29.94,24.82,23.78,20.63,4.37,25.91,0.216,,39.54,,39.54,1.11,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549301010538","59873691010538",2004,39,53,3579,2,1,"MIN_1","BD",1,2004-07-08,"GRFSL","2004-39-045",208.95,176.15,172.46,18.62,2.14,21.16,0.96,1.65,3.87,,3.87,0.23,5.26,4.91,12,238,372,2065,26,14.31,55.1,0,0,0,1.1,0.1,0.3,9.6,10.7,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549302010538","59873691010538",2004,39,53,3579,2,1,"MIN_2","BD",1,2004-07-08,"GRFSL","2004-39-046",292.74,254.92,251.29,14.84,1.45,16.5,1.4,0.36,2.07,,2.07,0.14,4.97,4.48,12,193,322,15,123,4.63,41.7,0,0.2,0,1.3,0.1,1,9.6,5.8,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549299010538","59873691010538",2004,39,53,3579,3,1,"FF_TOTAL","SF",1,2004-07-08,"GRFSL","2004-39-043",48.67,39.42,37.69,23.47,4.59,29.14,0.606,,34.87,,34.87,0.99,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549300010538","59873691010538",2004,39,53,3579,4,1,"FF_TOTAL","SF",1,2004-07-08,"GRFSL","2004-39-044",21.53,15.24,14.3,41.27,6.6,50.6,0.174,,38.96,,38.96,1.36,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549353010538","59875046010538",2004,39,59,2535,2,1,"FF_TOTAL","SF",1,2004-07-15,"GRFSL","2004-39-047",106.86,36.17,34.11,195.44,6.03,213.26,0.335,,44.64,,44.64,1.2,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549355010538","59875046010538",2004,39,59,2535,2,1,"MIN_1","BD",1,2004-07-15,"GRFSL","2004-39-049",298.28,251.96,249.21,18.38,1.1,19.69,1.38,38.35,2.97,,2.97,0.21,4.71,4.39,2,110,99,568,88,4.92,92.1,0,0,0,2.1,0.1,0.3,16.1,6.5,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549356010538","59875046010538",2004,39,59,2535,2,1,"MIN_2","BD",1,2004-07-15,"GRFSL","2004-39-050",306.13,274.44,272.27,11.55,0.8,12.44,1.51,22.71,1.11,,1.11,0.09,4.78,4.38,7,55,30,261,94,2.77,47.1,0,0,0,2.1,0.1,0.2,10.5,4.7,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549337010538","59875667010538",2004,39,61,2063,2,1,"MIN_2","BD",1,2004-06-28,"GRFSL","2004-39-016",302.75,254.98,247.07,18.73,3.2,22.54,1.37,0.82,1.71,,1.71,0.18,6,5.57,18,138,206,3503,2,19.63,13.9,0,0,0,1.2,0.1,0,5.2,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549354010538","59875046010538",2004,39,59,2535,4,1,"FF_TOTAL","SF",1,2004-07-15,"GRFSL","2004-39-048",40.53,18.58,17.37,118.14,6.95,133.3,0.307,,39.96,,39.96,0.98,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549333010538","59875667010538",2004,39,61,2063,2,1,"FF_TOTAL","SF",1,2004-06-28,"GRFSL","2004-39-012",47.93,34.94,32.67,37.18,6.96,46.73,0.963,,39.04,,39.04,0.88,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549336010538","59875667010538",2004,39,61,2063,2,1,"MIN_1","BD",1,2004-06-28,"GRFSL","2004-39-015",255.51,197.38,192.15,29.45,2.72,32.97,1.07,0.11,4.28,,4.28,0.39,6.24,5.9,18,197,298,3705,1,21.52,18.6,0,0,0,0.1,0.1,0,10.8,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
"63549334010538","59875667010538",2004,39,61,2063,3,1,"FF_TOTAL","SF",1,2004-06-28,"GRFSL","2004-39-013",51.06,36.64,33.88,39.36,8.15,50.71,0.999,,26.22,,26.22,0.92,,,,,,,,,,,,,,,,,,,2004,"",2018-02-23,"126144","",2006-08-16,"10538"
