,plot_sequence_number,plot_state_code,plot_county_code,measurement_year,latitude,longitude,tree_sequence_number,species_code,current_diameter
0,19107726010661,39,9,1990,39.27785110473633,-82.08319854736328,,,
1,19105823010661,39,9,1990,39.16674041748047,-81.74984741210938,19105829010661.0,621.0,12.300000190734863
2,19105832010661,39,9,1990,39.38896179199219,-81.83319091796875,19105852010661.0,318.0,7.300000190734863
3,19106014010661,39,9,1990,39.19451904296875,-82.13876342773438,19106029010661.0,318.0,8.300000190734863
4,19106123010661,39,9,1990,39.50006866455078,-82.08319854736328,19106141010661.0,972.0,9.300000190734863
5,19106535010661,39,9,1990,39.30562973022461,-82.055419921875,19106569010661.0,541.0,5.400000095367432
6,19107048010661,39,9,1990,39.41674041748047,-81.9165267944336,19107072010661.0,833.0,9.5
7,19108383010661,39,9,1991,39.38896179199219,-82.22209167480469,19108417010661.0,837.0,6.0
8,19107228010661,39,9,1990,39.30562973022461,-82.055419921875,19107239010661.0,701.0,1.7000000476837158
9,16232790020004,39,9,2013,39.513816833496094,-82.09053802490234,271066787489998.0,409.0,
10,59782247010538,39,9,2001,39.449432373046875,-82.0347671508789,66252015010538.0,762.0,1.600000023841858
11,59829271010538,39,9,2003,39.362056732177734,-82.00413513183594,66268339010538.0,837.0,11.5
12,59846543010538,39,9,2003,39.236793518066406,-82.02661895751953,66344327010538.0,332.0,7.199999809265137
13,66399591010538,39,9,2005,39.41191101074219,-82.20648193359375,66399657010538.0,837.0,15.399999618530273
14,66399852010538,39,9,2005,39.43704605102539,-82.27458190917969,66399931010538.0,541.0,6.300000190734863
15,72743515010538,39,9,2006,39.266937255859375,-81.83246612548828,73989192010538.0,318.0,10.300000190734863
16,72790519010538,39,9,2006,39.25998306274414,-82.14836883544922,73989685010538.0,409.0,9.0
17,109827959010661,39,9,2008,39.45155334472656,-81.96943664550781,212649606010661.0,541.0,8.600000381469727
18,109827961010661,39,9,2008,39.513816833496094,-82.09053802490234,212649659010661.0,500.0,5.400000095367432
19,109827969010661,39,9,2008,39.34844970703125,-82.18354797363281,212649721010661.0,762.0,11.399999618530273
20,144953543010661,39,9,2010,39.44101333618164,-81.91502380371094,224923162010661.0,975.0,
21,144954831010661,39,9,2009,39.217369079589844,-82.18827819824219,224923693010661.0,901.0,6.400000095367432
22,171868167020004,39,9,2015,39.41191101074219,-82.20648193359375,381535614489998.0,318.0,6.800000190734863
23,222444623010661,39,9,2012,39.37592315673828,-81.89173126220703,31280209020004.0,531.0,6.0
24,247063217010661,39,9,2012,39.248592376708984,-82.26199340820312,211865201020004.0,402.0,
25,247063904010661,39,9,2012,39.25346374511719,-81.92094421386719,211875560020004.0,602.0,6.699999809265137
26,251630362489998,39,9,2015,39.42622375488281,-81.91533660888672,381536574489998.0,332.0,1.2999999523162842
27,251630362489998,39,9,2015,39.42622375488281,-81.91533660888672,381536565489998.0,332.0,12.199999809265137
28,375549793489998,39,9,2017,39.4430046081543,-81.87068176269531,530817141126144.0,837.0,1.399999976158142
29,66399275010538,39,9,2005,39.42622375488281,-81.91533660888672,66399369010538.0,731.0,7.5
30,144953543010661,39,9,2010,39.44101333618164,-81.91502380371094,224923178010661.0,621.0,
31,168996599010661,39,9,2010,39.266937255859375,-81.83246612548828,247524313010661.0,318.0,5.300000190734863
32,171867382020004,39,9,2014,39.30784225463867,-81.84485626220703,334948683489998.0,131.0,6.5
33,171868167020004,39,9,2015,39.41191101074219,-82.20648193359375,381535595489998.0,837.0,8.899999618530273
34,247063836010661,39,9,2012,39.449432373046875,-82.0347671508789,211873498020004.0,602.0,7.099999904632568
35,306266665489998,39,9,2016,39.43704605102539,-82.27458190917969,469328305489998.0,621.0,14.0
36,375549799489998,39,9,2017,39.30482864379883,-82.2610855102539,530817348126144.0,407.0,9.699999809265137
37,463049142489998,39,9,2019,39.40324020385742,-81.97156524658203,657544093126144.0,835.0,
38,19107003010661,39,9,1990,39.33340072631836,-82.27764892578125,19107022010661.0,802.0,17.0
39,19107003010661,39,9,1990,39.33340072631836,-82.27764892578125,19107024010661.0,802.0,11.199999809265137
40,19107130010661,39,9,1990,39.36119079589844,-81.80541229248047,19107162010661.0,806.0,13.0
41,19107425010661,39,9,1990,39.36117935180664,-81.9165267944336,19107436010661.0,837.0,13.300000190734863
42,19107911010661,39,9,1990,39.4722900390625,-82.13876342773438,19107928010661.0,833.0,19.200000762939453
43,19108097010661,39,9,1990,39.33340835571289,-81.88874816894531,19108123010661.0,400.0,11.199999809265137
44,76389034010538,39,9,2007,39.30978775024414,-81.88070678710938,,,
45,19107911010661,39,9,1990,39.4722900390625,-82.13876342773438,19107958010661.0,802.0,19.200000762939453
46,19106319010661,39,9,1990,39.36117935180664,-81.97207641601562,19106342010661.0,318.0,7.199999809265137
47,19107425010661,39,9,1990,39.36117935180664,-81.9165267944336,19107433010661.0,602.0,8.5
48,19106753010661,39,9,1990,39.44451904296875,-81.86096954345703,19106780010661.0,491.0,3.4000000953674316
49,19107353010661,39,9,1990,39.50006866455078,-82.08319854736328,19107416010661.0,318.0,2.0
50,19107753010661,39,9,1990,39.44451141357422,-82.24987030029297,19107787010661.0,316.0,1.5
51,16232794020004,39,9,2014,39.34844970703125,-82.18354797363281,271066975489998.0,316.0,
52,16233025020004,39,9,2014,39.274410247802734,-81.87477111816406,271074183489998.0,621.0,13.0
53,16233026020004,39,9,2014,39.236793518066406,-82.02661895751953,271074210489998.0,332.0,
54,59829195010538,39,9,2003,39.274410247802734,-81.87477111816406,66268221010538.0,731.0,10.300000190734863
