,plot_phase_2_plot_number,plot_state_code,plot_county_code,measurement_year,measurement_month,latitude,longitude,species_code,avg_height,avg_diameter,total_height,date,fips_code,nearest_station,mean_temp,mean_dwp,mean_prcp
11993,25,5,45,2000.0,2.0,35.16883087158203,-92.33478546142578,611,72.49999999999999,10.266666601101559,1740.0,2000-02-01,5_45,723405,,,
11994,13,5,133,2000.0,2.0,33.83562469482422,-94.19944763183594,611,75.85714285714286,11.699999877384732,531.0,2000-02-01,5_133,723418,,,
11995,22,37,65,2000.0,7.0,35.86686706542969,-77.66036224365234,611,48.22222222222222,7.466666751437717,434.0,2000-07-01,37_65,723068,,,
11996,12,51,171,2000.0,9.0,38.66876983642578,-78.61897277832031,802,66.83333333333333,17.258333524068195,401.0,2000-09-01,51_171,724105,,,
11997,17,13,275,2000.0,4.0,30.713146209716797,-84.0828628540039,131,48.0,9.0,48.0,2000-04-01,13_275,722140,,,
11998,29,13,221,2000.0,4.0,33.91931915283203,-82.98848724365234,802,60.0,9.240000152587891,300.0,2000-04-01,13_221,723110,,,
11999,129,1,125,2000.0,1.0,33.2945671081543,-87.59980010986328,611,90.5,24.600000381469727,181.0,2000-01-01,1_125,722286,,,
12000,28,13,293,2000.0,8.0,32.769012451171875,-84.27566528320312,131,32.58333333333333,5.249999900658925,391.0,2000-08-01,13_293,722170,,,
12001,1,13,11,2000.0,11.0,34.24253845214844,-83.39437866210938,491,39.0,5.099999904632568,39.0,2000-11-01,13_11,723110,,,
12002,56,1,51,2000.0,7.0,32.557167053222656,-86.08321380615234,131,44.666666666666664,7.200000127156575,134.0,2000-07-01,1_51,722265,,,
12003,70,45,91,2000.0,5.0,35.054229736328125,-81.11763000488281,611,22.0,2.0799999952316286,110.0,2000-05-01,45_91,723140,,,
12004,99,37,13,2000.0,2.0,35.24496841430664,-76.8543701171875,611,42.4,4.599999952316284,212.0,2000-02-01,37_13,723095,,,
12005,10,51,159,2000.0,6.0,37.9208869934082,-76.65633392333984,316,53.0,8.060000085830689,265.0,2000-06-01,51_159,724040,,,
12006,17,51,181,2000.0,5.0,37.16886520385742,-77.02496337890625,611,45.66666666666667,6.8000000317891445,137.0,2000-05-01,51_181,724019,,,
12007,89,45,7,2000.0,11.0,34.38313293457031,-82.53829956054688,316,43.666666666666664,6.078888946109348,393.0,2000-11-01,45_7,723119,,,
12008,4,45,83,2000.0,10.0,34.67876052856445,-81.84474182128906,316,32.0,5.199999809265137,32.0,2000-10-01,45_83,723120,,,
12009,2,5,53,2000.0,3.0,34.14864730834961,-92.35191345214844,316,32.25,3.6499999463558197,129.0,2000-03-01,5_53,723417,,,
12010,89,37,13,2000.0,1.0,35.4952278137207,-77.101806640625,131,42.333333333333336,6.300000190734863,127.0,2000-01-01,37_13,723065,,,
12011,67,51,143,2000.0,6.0,36.92381286621094,-79.31098175048828,316,33.2,3.259999942779541,166.0,2000-06-01,51_143,724106,,,
12012,1,13,35,2000.0,3.0,33.323150634765625,-83.8721923828125,611,34.0,7.699999809265137,34.0,2000-03-01,13_35,722190,,,
12013,14,13,301,2000.0,5.0,33.295963287353516,-82.70914459228516,131,54.916666666666664,8.700000047683716,659.0,2000-05-01,13_301,722181,,,
12014,33,47,155,2000.0,5.0,35.66376876831055,-83.57447052001953,491,30.0,5.399999936421712,90.0,2000-05-01,47_155,723260,,,
12015,57,1,121,2000.0,10.0,33.17566680908203,-86.40575408935547,316,17.8,1.2800000190734864,89.0,2000-10-01,1_121,722300,,,
12016,81,1,49,2000.0,7.0,34.4167366027832,-86.07842254638672,316,44.75,7.224999964237213,358.0,2000-07-01,1_49,722285,,,
12017,17,5,39,2000.0,5.0,33.89631652832031,-92.55574798583984,611,12.0,1.600000023841858,12.0,2000-05-01,5_39,723415,,,
12018,2,22,111,2000.0,6.0,32.8065299987793,-92.42642974853516,316,38.5,5.925000071525574,154.0,2000-06-01,22_111,722486,,,
12019,15,47,111,2000.0,3.0,36.57073974609375,-85.95391082763672,318,105.0,18.100000381469727,105.0,2000-03-01,47_111,746716,,,
12020,30,47,115,2000.0,3.0,35.03708267211914,-85.639404296875,316,33.8,4.484000015258789,169.0,2000-03-01,47_115,723240,,,
12021,28,1,55,2000.0,9.0,33.92327117919922,-86.07874298095703,802,20.666666666666668,2.800000031789144,62.0,2000-09-01,1_55,722285,,,
12022,32,45,15,2000.0,10.0,33.10895919799805,-80.21536254882812,611,79.66666666666667,15.416666507720947,478.0,2000-10-01,45_15,722080,,,
12023,858,21,31,2000.0,11.0,37.310001373291016,-86.47000122070312,491,22.0,6.075000047683716,44.0,2000-11-01,21_31,746716,,,
12024,47,13,199,2000.0,1.0,32.87251281738281,-84.78485107421875,316,58.0,10.475000143051147,232.0,2000-01-01,13_199,722255,,,
12025,9,1,17,2000.0,10.0,32.873531341552734,-85.36709594726562,611,81.5,12.300000190734863,163.0,2000-10-01,1_17,722284,,,
12026,36,1,127,2000.0,12.0,33.93366241455078,-87.31473541259766,316,43.0,5.266666730244954,129.0,2000-12-01,1_127,722280,,,
12027,829,21,197,2000.0,5.0,37.88999938964844,-83.93000030517578,316,49.666666666666664,6.95714282989502,149.0,2000-05-01,21_197,724220,,,
12028,17,5,149,2000.0,4.0,35.150333404541016,-93.41302490234375,611,85.0,16.399999618530273,85.0,2000-04-01,5_149,723435,,,
12029,39,47,91,2000.0,4.0,36.456119537353516,-81.83817291259766,316,48.63636363636363,5.745454549789429,535.0,2000-04-01,47_91,724058,,,
12030,6,21,139,2000.0,1.0,37.22304153442383,-88.2099380493164,802,65.0,11.149999618530273,130.0,2000-01-01,21_139,724350,,,
12031,27,5,139,2000.0,9.0,33.18817138671875,-92.76545715332031,316,42.0,4.929999828338623,42.0,2000-09-01,5_139,723419,,,
12032,12,47,21,2000.0,10.0,36.258384704589844,-87.0849609375,802,73.5,11.925000190734863,294.0,2000-10-01,47_21,723270,,,
12033,29,47,37,2000.0,10.0,36.088043212890625,-86.92080688476562,318,39.6,4.130000042915344,198.0,2000-10-01,47_37,723270,,,
12034,38,1,127,2000.0,5.0,33.9753303527832,-87.20426177978516,316,33.5,3.1333332856496177,67.0,2000-05-01,1_127,722280,,,
12035,16,1,133,2000.0,2.0,34.26349639892578,-87.32288360595703,316,29.25,1.9749999642372131,117.0,2000-02-01,1_133,722279,,,
12036,40,45,77,2000.0,11.0,35.00978469848633,-82.56732940673828,611,62.666666666666664,10.0,188.0,2000-11-01,45_77,723119,,,
12037,55,45,81,2000.0,5.0,34.15988540649414,-81.72470092773438,491,38.5,2.9700000286102295,77.0,2000-05-01,45_81,723100,,,
12038,62,37,81,2000.0,12.0,35.97739791870117,-79.77130126953125,491,31.125,2.162500023841858,249.0,2000-12-01,37_81,723170,,,
12039,51,1,27,2000.0,3.0,33.18218994140625,-85.87178802490234,491,17.333333333333332,2.6666666865348816,52.0,2000-03-01,1_27,722287,,,
12040,142,45,51,2000.0,6.0,33.70911407470703,-79.14779663085938,131,94.0,19.81999969482422,282.0,2000-06-01,45_51,747910,,,
12041,79,37,81,2000.0,9.0,36.24538803100586,-80.00247192382812,316,65.33333333333333,7.700000127156575,196.0,2000-09-01,37_81,723170,,,
12042,95,37,13,2000.0,3.0,35.631160736083984,-76.62418365478516,131,93.5,23.300000190734863,187.0,2000-03-01,37_13,723074,,,
12043,2,1,13,2000.0,5.0,31.89832305908203,-86.88137817382812,611,76.11111111111111,9.980000066757203,685.0,2000-05-01,1_13,722276,,,
12044,62,37,65,2000.0,10.0,35.76420593261719,-77.6641845703125,611,38.333333333333336,6.0333333015441895,115.0,2000-10-01,37_65,723068,,,
12045,57,13,303,2000.0,3.0,33.036380767822266,-82.65515899658203,316,57.5,8.299999833106995,115.0,2000-03-01,13_303,722181,,,
12046,21,47,181,2000.0,3.0,35.29423141479492,-87.66716003417969,802,52.0,9.299999872843424,156.0,2000-03-01,47_181,723235,,,
12047,39,1,9,2000.0,10.0,34.09349822998047,-86.44835662841797,802,60.75,11.575000047683716,243.0,2000-10-01,1_9,722285,,,
12048,39,1,59,2000.0,3.0,34.414974212646484,-87.6077651977539,316,30.0,3.479999923706055,150.0,2000-03-01,1_59,723235,,,
12049,24,45,21,2000.0,11.0,35.11159896850586,-81.58094787597656,131,67.4,14.019999885559082,337.0,2000-11-01,45_21,723144,,,
12050,878,21,199,2000.0,6.0,37.13999938964844,-84.80999755859375,491,23.0,6.09499979019165,23.0,2000-06-01,21_199,724354,,,
12051,30,5,113,2000.0,7.0,34.46025848388672,-94.14771270751953,802,44.0,7.1499998569488525,176.0,2000-07-01,5_113,723435,,,
12052,12,5,57,2000.0,8.0,33.839351654052734,-93.47929382324219,491,33.0,6.134999990463257,66.0,2000-08-01,5_57,723415,,,
12053,109,1,127,2000.0,8.0,33.7517204284668,-87.11063385009766,316,35.0,4.049999952316284,70.0,2000-08-01,1_127,722280,,,
12054,11,5,133,2000.0,2.0,34.131072998046875,-94.4063491821289,802,53.0,9.628571442195348,371.0,2000-02-01,5_133,723418,,,
