,Accuracy,Recall,Precision
"Random
Forest",0.7605547424907659,0.7398232381177876,0.7925072027054888
"Support
Vector
Machine",0.7585476339814621,0.7647658357909937,0.7780095158196547
"Gaussian
Naive
Bayes",0.4921457941319953,0.5846687461219767,0.5335067019790529
"Multilayer
Layer
Perceptron",0.8405603177921807,0.8451500270917318,0.8466240642122429
"Soft
Ensemble",0.7995121611262109,0.8150573813318579,0.8035025476870737
